OBJECTID *;TIPO;NOMBRE;CONCESION;GEN;SENTIDO;COD_VIA;DEP;CONCESIONA;INIC_OPER;CAT1;CAT2;CAT3;CAT4;CAT5;CAT6;CAT7;ETIQUETA;longitud;latitud
77;Actual;CIRCASIA;Armenia – Pereira – Manizales;1G;Bidireccional;2901;Quindio;AUTOPISTAS DEL CAFE S.A;01/01/1998 12:00:00 AM;14300;18300;18300;18300;44500;54600;60800;Circasia;-75.606148;4.698388
79;Actual;ACAPULCO;Autopista Conexión Pacífico 3;4G;Bidireccional;2507;Caldas;CONCESIÓN PACIFICO TRES S.A.S;04/18/2016 12:00:00 AM;11800;14600;14600;14600;35100;44000;50800;Acapulco;-75.858871;4.999062
80;Actual;TARAPACÁ I;Armenia – Pereira – Manizales;1G;Bidireccional;29RSC;Caldas;AUTOPISTAS DEL CAFE S.A;07/01/1997 12:00:00 AM;11900;15800;15800;15800;39500;52300;58400;Tarapacá 1;-75.616592;4.939136
81;Actual;TARAPACÁ II;Armenia – Pereira – Manizales;1G;Bidireccional;29RSC;Risaralda;AUTOPISTAS DEL CAFE S.A;12/01/2006 12:00:00 AM;11900;15800;15800;15800;39500;52300;58400;Tarapacá 2;-75.618767;4.949733
82;Actual;SAN PEDRO;Villavicencio – Yopal;4G;Bidireccional;6511;Casanare;CONCESIONARIA VIAL DEL ORIENTE S.A.S. - COVIORIENTE S.A.S;04/18/2016 12:00:00 AM;8700;9400;21100;25600;28600;0;0;San Pedro;-72.943748;4.678609
83;Actual;TUTA;Briceño – Tunja – Sogamoso;3G;Bidireccional;5502;Boyacá;CSS CONSTRUCTORES S.A;01/16/2004 12:00:00 AM;8100;9000;23700;29400;34600;0;0;Tuta;-73.278435;5.656912
84;Actual;YUCAO;IP - Malla vial del Meta;4G;Bidireccional;4008;Meta;CONCESION VIAL DE LOS LLANOS SAS;04/18/2016 12:00:00 AM;4600;5000;5000;5000;20400;25900;29200;Yucao;-72.090698;4.314231
85;Actual;EL PICACHO;Bucaramanga – Pamplona;4G;Bidireccional;6603;Santander;AUTOVIA BUCARAMANGA PAMPLONA S.A.S.;11/17/2016 12:00:00 AM;8800;9700;20200;25700;29000;0;0;El Picacho;-72.968979;7.107969
86;Actual;LA PARADA;Área Metropolitana de Cúcuta;3G;Unidireccional S-N;7010;Norte de Santander;CONCESIONARIA SAN SIMÓN S.A.;09/07/2007 12:00:00 AM;2000;2000;2000;2000;2000;0;0;La Parada;-72.484245;7.867416
87;Actual;EL ESCOBAL;Área Metropolitana de Cúcuta;3G;Unidireccional N-S;SC;Norte de Santander;CONCESIONARIA SAN SIMÓN S.A.;09/07/2007 12:00:00 AM;2000;2000;2000;2000;2000;0;0;El Escobal;-72.46946;7.910621
